Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),ZONE ONE:Zone Air Temperature [C](Hourly),ERV_1_HX:Heat Exchanger Total Heating Rate [W](Hourly),ERV_1_FANSUPPLY:Fan Electric Power [W](Hourly),ERV_1_FANSUPPLY:Fan Air Mass Flow Rate [kg/s](Hourly),ERV_1_FANEXHAUST:Fan Electric Power [W](Hourly),ERV_1_FANEXHAUST:Fan Air Mass Flow Rate [kg/s](Hourly),RADIATOR:Baseboard Total Heating Rate [W](Hourly),RADIATOR:Baseboard Hot Water Mass Flow Rate [kg/s](Hourly),RADIATOR:Baseboard Water Inlet Temperature [C](Hourly),RADIATOR:Baseboard Water Outlet Temperature [C](Hourly),DISTRICT HEATING 1:District Heating Rate [W](Hourly),DISTRICT HEATING 1:District Heating Inlet Temperature [C](Hourly),DISTRICT HEATING 1:District Heating Outlet Temperature [C](Hourly),DISTRICT HEATING 1:District Heating Mass Flow Rate [kg/s](Hourly),DistrictHeating:Facility [J](Hourly) 
 01/01  01:00:00,1.9,16.687849240236596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.992784954083,59.992784954083,0.0,50.004663762813198,50.004663762813198,0.0,43200.0 
 01/01  02:00:00,2.0,16.561095198966784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.992784954083,59.992784954083,0.0,50.004663762813198,50.004663762813198,0.0,43200.0 
 01/01  03:00:00,1.9,16.4491480820637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.992784954083,59.992784954083,0.0,50.004663762813198,50.004663762813198,0.0,43200.0 
 01/01  04:00:00,2.1,16.34726024153004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.992784954083,59.992784954083,0.0,50.004663762813198,50.004663762813198,0.0,43200.0 
 01/01  05:00:00,2.0,16.22992960377572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.992784954083,59.992784954083,0.0,50.004663762813198,50.004663762813198,0.0,43200.0 
 01/01  06:00:00,1.9,19.921579835427566,0.0,0.0,0.0,0.0,0.0,1071.8380330094467,0.034611853846153849,59.949698194827359,49.65247490160444,1430.5365159622143,49.96517629725939,59.899405166480168,0.034611853846153849,5193131.457463972 
 01/01  07:00:00,1.8,19.995535256451477,0.0,0.0,0.0,0.0,0.0,889.3065348361092,0.034176201171875007,59.961523604375219,49.69540376261984,1441.8940457633328,49.90745525823996,60.0,0.034176201171875007,5255618.5647479989 
 01/01  08:00:00,2.0,20.0896564227526,0.0,0.0,0.0,0.0,0.0,854.0479264656623,0.031168695468750009,59.97371247517416,49.57546831996425,1325.622960893156,49.827567733639387,60.0,0.031168695468750009,4952242.659215362 
 01/01  09:00:00,2.1,20.098600305536853,0.0,0.0,0.0,0.0,0.0,890.1533452162433,0.032731036093750009,59.98206903650339,49.666850170568199,1398.0320690848469,49.783980790633318,60.0,0.032731036093750009,5299315.448705449 
 01/01  10:00:00,2.2,20.093879928017708,0.0,0.0,0.0,0.0,0.0,869.5707546368948,0.031871748750000008,59.98783727364786,49.63200491377458,1364.331571225454,49.761441305166197,60.0,0.031871748750000008,5163593.656411634 
