Date/Time,DistrictHeating:Facility [J](Hourly) 
 01/01  01:00:00,43200.0 
 01/01  02:00:00,43200.0 
 01/01  03:00:00,43200.0 
 01/01  04:00:00,43200.0 
 01/01  05:00:00,43200.0 
 01/01  06:00:00,5193131.457463972 
 01/01  07:00:00,5255618.5647479989 
 01/01  08:00:00,4952242.659215362 
 01/01  09:00:00,5299315.448705449 
 01/01  10:00:00,5163593.656411634 
 01/01  11:00:00,7430400.0 
 01/01  12:00:00,7452000.0 
 01/01  13:00:00,7502400.0 
 01/01  14:00:00,7466400.0 
 01/01  15:00:00,7393487.589542265 
 01/01  16:00:00,7308839.575893224 
 01/01  17:00:00,4536554.779302864 
 01/01  18:00:00,4727252.564688058 
 01/01  19:00:00,4760451.091606026 
 01/01  20:00:00,4748310.070885202 
 01/01  21:00:00,216000.0 
 01/01  22:00:00,244800.0 
 01/01  23:00:00,187200.0 
 01/01  24:00:00,86400.0 
 01/02  01:00:00,43200.0 
 01/02  02:00:00,43200.0 
 01/02  03:00:00,43200.0 
 01/02  04:00:00,43200.0 
 01/02  05:00:00,43200.0 
 01/02  06:00:00,4861561.212870011 
 01/02  07:00:00,4864671.241006683 
 01/02  08:00:00,4950389.792824894 
 01/02  09:00:00,7502400.0 
 01/02  10:00:00,7430400.0 
 01/02  11:00:00,7394400.0 
 01/02  12:00:00,7437600.0 
 01/02  13:00:00,7495200.0 
 01/02  14:00:00,7389665.939124166 
 01/02  15:00:00,7337368.647965491 
 01/02  16:00:00,7272677.786890431 
 01/02  17:00:00,7275350.053362236 
 01/02  18:00:00,6918546.01783664 
 01/02  19:00:00,3573313.106294865 
 01/02  20:00:00,4659677.017373891 
 01/02  21:00:00,259200.0 
 01/02  22:00:00,324000.0 
 01/02  23:00:00,216000.0 
 01/02  24:00:00,57600.0 
 01/03  01:00:00,43200.0 
 01/03  02:00:00,43200.0 
 01/03  03:00:00,43200.0 
 01/03  04:00:00,43200.0 
 01/03  05:00:00,43200.0 
 01/03  06:00:00,4992540.142553 
 01/03  07:00:00,4705552.679512848 
 01/03  08:00:00,4911956.785770257 
 01/03  09:00:00,7502400.0 
 01/03  10:00:00,7430400.0 
 01/03  11:00:00,7394400.0 
 01/03  12:00:00,7437600.0 
 01/03  13:00:00,7495200.0 
 01/03  14:00:00,7428904.750218218 
 01/03  15:00:00,7369736.956662565 
 01/03  16:00:00,7299318.245675592 
 01/03  17:00:00,7299198.764358559 
 01/03  18:00:00,7079766.847064485 
 01/03  19:00:00,3572412.1153883386 
 01/03  20:00:00,4658737.161419421 
 01/03  21:00:00,259200.0 
 01/03  22:00:00,324000.0 
 01/03  23:00:00,216000.0 
 01/03  24:00:00,57600.0 
 01/04  01:00:00,43200.0 
 01/04  02:00:00,43200.0 
 01/04  03:00:00,43200.0 
 01/04  04:00:00,43200.0 
 01/04  05:00:00,43200.0 
 01/04  06:00:00,5335948.449529504 
 01/04  07:00:00,5815384.528593903 
 01/04  08:00:00,5689482.433157523 
 01/04  09:00:00,7502400.0 
 01/04  10:00:00,7430400.0 
 01/04  11:00:00,7394400.0 
 01/04  12:00:00,7437600.0 
 01/04  13:00:00,7495200.0 
 01/04  14:00:00,7452000.0 
 01/04  15:00:00,7444800.0 
 01/04  16:00:00,7408800.0 
 01/04  17:00:00,7430400.0 
 01/04  18:00:00,7560000.0 
 01/04  19:00:00,5311181.189632309 
 01/04  20:00:00,4818198.588592504 
 01/04  21:00:00,259200.0 
 01/04  22:00:00,324000.0 
 01/04  23:00:00,216000.0 
 01/04  24:00:00,57600.0 
 01/05  01:00:00,43200.0 
 01/05  02:00:00,43200.0 
 01/05  03:00:00,43200.0 
 01/05  04:00:00,43200.0 
 01/05  05:00:00,43200.0 
 01/05  06:00:00,6170099.95575172 
 01/05  07:00:00,7098249.628834612 
 01/05  08:00:00,6652478.120394363 
 01/05  09:00:00,7502400.0 
 01/05  10:00:00,7430400.0 
 01/05  11:00:00,7394400.0 
 01/05  12:00:00,7437600.0 
 01/05  13:00:00,7495200.0 
 01/05  14:00:00,7452000.0 
 01/05  15:00:00,7444800.0 
 01/05  16:00:00,7408800.0 
 01/05  17:00:00,7430400.0 
 01/05  18:00:00,7560000.0 
 01/05  19:00:00,5607722.880114914 
 01/05  20:00:00,5456252.87355009 
 01/05  21:00:00,259200.0 
 01/05  22:00:00,324000.0 
 01/05  23:00:00,216000.0 
 01/05  24:00:00,57600.0 
 01/06  01:00:00,43200.0 
 01/06  02:00:00,43200.0 
 01/06  03:00:00,43200.0 
 01/06  04:00:00,43200.0 
 01/06  05:00:00,43200.0 
 01/06  06:00:00,7011464.59620798 
 01/06  07:00:00,7401600.0 
 01/06  08:00:00,7552800.0 
 01/06  09:00:00,7502400.000000002 
 01/06  10:00:00,7430400.0 
 01/06  11:00:00,7394400.0 
 01/06  12:00:00,7437600.0 
 01/06  13:00:00,7495200.0 
 01/06  14:00:00,7452000.0 
 01/06  15:00:00,7444800.0 
 01/06  16:00:00,7408800.0 
 01/06  17:00:00,7430400.0 
 01/06  18:00:00,7560000.0 
 01/06  19:00:00,6208312.446321598 
 01/06  20:00:00,7488000.0 
 01/06  21:00:00,259200.0 
 01/06  22:00:00,324000.0 
 01/06  23:00:00,216000.0 
 01/06  24:00:00,57600.0 
 01/07  01:00:00,43200.0 
 01/07  02:00:00,43200.0 
 01/07  03:00:00,43200.0 
 01/07  04:00:00,43200.0 
 01/07  05:00:00,43200.0 
 01/07  06:00:00,7243200.0 
 01/07  07:00:00,7308000.0 
 01/07  08:00:00,7430400.0 
 01/07  09:00:00,7509600.0 
 01/07  10:00:00,7480800.0 
 01/07  11:00:00,7444800.000000002 
 01/07  12:00:00,7459200.0 
 01/07  13:00:00,7524000.0 
 01/07  14:00:00,7480800.0 
 01/07  15:00:00,7480800.0 
 01/07  16:00:00,7437600.0 
 01/07  17:00:00,7263529.704408473 
 01/07  18:00:00,7545600.0 
 01/07  19:00:00,7545600.0 
 01/07  20:00:00,7516800.0 
 01/07  21:00:00,223200.0 
 01/07  22:00:00,223200.0 
 01/07  23:00:00,201600.00000000004 
 01/07  24:00:00,72000.0 
 01/08  01:00:00,43200.0 
 01/08  02:00:00,43200.0 
 01/08  03:00:00,43200.0 
 01/08  04:00:00,43200.0 
 01/08  05:00:00,43200.0 
 01/08  06:00:00,7072905.820244373 
 01/08  07:00:00,7264800.0 
 01/08  08:00:00,7380000.0 
 01/08  09:00:00,7466400.0 
 01/08  10:00:00,7452000.0 
 01/08  11:00:00,7430400.0 
 01/08  12:00:00,7452000.0 
 01/08  13:00:00,7502400.0 
 01/08  14:00:00,7466400.0 
 01/08  15:00:00,7459200.0 
 01/08  16:00:00,7423200.0 
 01/08  17:00:00,5725877.093921901 
 01/08  18:00:00,6211187.938471065 
 01/08  19:00:00,6389815.272636637 
 01/08  20:00:00,5793259.848607234 
 01/08  21:00:00,216000.0 
 01/08  22:00:00,244800.0 
 01/08  23:00:00,187200.0 
 01/08  24:00:00,86400.0 
 01/09  01:00:00,43200.0 
 01/09  02:00:00,43200.0 
 01/09  03:00:00,43200.0 
 01/09  04:00:00,43200.0 
 01/09  05:00:00,43200.0 
 01/09  06:00:00,6679508.76242299 
 01/09  07:00:00,7401600.0 
 01/09  08:00:00,7381352.2156156 
 01/09  09:00:00,7502400.000000002 
 01/09  10:00:00,7430400.0 
 01/09  11:00:00,7394400.0 
 01/09  12:00:00,7437600.0 
 01/09  13:00:00,7495200.0 
 01/09  14:00:00,7452000.0 
 01/09  15:00:00,7444800.0 
 01/09  16:00:00,7408800.0 
 01/09  17:00:00,7430400.0 
 01/09  18:00:00,7560000.0 
 01/09  19:00:00,5709179.268462589 
