Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),ZONE ONE:Zone Air Temperature [C](Hourly),ERV_1_HX:Heat Exchanger Total Heating Rate [W](Hourly),ERV_1_FANSUPPLY:Fan Electric Power [W](Hourly),ERV_1_FANSUPPLY:Fan Air Mass Flow Rate [kg/s](Hourly),ERV_1_FANEXHAUST:Fan Electric Power [W](Hourly),ERV_1_FANEXHAUST:Fan Air Mass Flow Rate [kg/s](Hourly),RADIATOR:Baseboard Total Heating Rate [W](Hourly),RADIATOR:Baseboard Hot Water Mass Flow Rate [kg/s](Hourly),RADIATOR:Baseboard Water Inlet Temperature [C](Hourly),RADIATOR:Baseboard Water Outlet Temperature [C](Hourly),DISTRICT HEATING 1:District Heating Rate [W](Hourly),DISTRICT HEATING 1:District Heating Inlet Temperature [C](Hourly),DISTRICT HEATING 1:District Heating Outlet Temperature [C](Hourly),DISTRICT HEATING 1:District Heating Mass Flow Rate [kg/s](Hourly),DistrictHeating:Facility [J](Hourly) 
 01/27  01:00:00,-17.0,16.520382927461904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.87341682327183,59.87341682327183,0.0,50.028219407538937,50.028219407538937,0.0,43200.0 
 01/27  02:00:00,-17.0,16.329066185594138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.87341682327183,59.87341682327183,0.0,50.028219407538937,50.028219407538937,0.0,43200.0 
 01/27  03:00:00,-17.0,16.263422933743965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.87341682327183,59.87341682327183,0.0,50.028219407538937,50.028219407538937,0.0,43200.0 
 01/27  04:00:00,-17.0,16.13681761479839,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.87341682327183,59.87341682327183,0.0,50.028219407538937,50.028219407538937,0.0,43200.0 
 01/27  05:00:00,-16.9,15.92455818983955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.87341682327183,59.87341682327183,0.0,50.028219407538937,50.028219407538937,0.0,43200.0 
 01/27  06:00:00,-16.7,19.603113976067438,0.0,0.0,0.0,0.0,0.0,1102.5635157152471,0.03618020347355769,59.85665810825614,49.58100854360268,1496.7525803429198,49.96444504784125,59.90208756725794,0.03618020347355769,5431509.289234512 
 01/27  07:00:00,-16.6,20.02875906888997,0.0,0.0,0.0,0.0,0.0,971.4975045788244,0.03710558984375,59.902946371883768,49.76851224948227,1563.0607177994611,49.92380438489326,60.0,0.03710558984375,5828618.58407806 
 01/27  08:00:00,-15.8,20.090353470976085,0.0,0.0,0.0,0.0,0.0,878.3784297213107,0.0323404509375,59.93477322530592,49.61304519550395,1372.5086421916267,49.84939383585695,60.0,0.0323404509375,5293831.111889856 
 01/27  09:00:00,-15.0,17.99345324511663,0.0,0.0,0.0,0.0,0.0,1151.8106893921354,0.0499949,59.83124558311739,50.07169561646201,1999.9999999999998,49.927666880701149,59.49576514293459,0.0499949,7502400.0 
 01/27  10:00:00,-14.2,17.850067678741217,0.0,0.0,0.0,0.0,0.0,1292.722495011479,0.0499949,59.68220719982481,49.73521615291415,2000.0,49.908417200859307,59.476524273571119,0.0499949,7430400.0 
 01/27  11:00:00,-13.1,18.427190435211967,0.0,0.0,0.0,0.0,0.0,1274.108318108887,0.0499949,59.58086502449162,49.84753665774489,2000.0,49.883396164671569,59.45151468944263,0.0499949,7394400.0 
 01/27  12:00:00,-12.1,18.843716077836058,0.0,0.0,0.0,0.0,0.0,1251.2306303379664,0.0499949,59.53087111849255,49.95463939443646,2000.0,49.92184796458929,59.48994889009407,0.0499949,7437600.0 
 01/27  13:00:00,-11.0,19.0408894075875,0.0,0.0,0.0,0.0,0.0,1228.842057368706,0.0499949,59.53108427173241,50.035112071005347,2000.0,49.991735830675079,59.55980476887905,0.0499949,7495200.0 
 01/27  14:00:00,-10.7,18.948864370496666,0.0,0.0,0.0,0.0,0.0,1224.5923825715563,0.0499949,59.559481453663,50.107435449248239,2000.0,50.058735339160559,59.626746729747697,0.0499949,7452000.0 
 01/27  15:00:00,-10.5,18.851962699089609,0.0,0.0,0.0,0.0,0.0,1225.0480840480695,0.0499949,59.6024606902636,50.12558093506264,2000.0,50.114700421176909,59.682660582999037,0.0499949,7444800.0 
 01/27  16:00:00,-10.2,18.80097504879781,0.0,0.0,0.0,0.0,0.0,1229.8834969141735,0.0499949,59.647005115768688,50.1380323941183,2000.0,50.15218998352866,59.72011582883163,0.0499949,7408800.0 
 01/27  17:00:00,-9.8,18.859394060359674,0.0,0.0,0.0,0.0,0.0,1232.1829414388335,0.0499949,59.68613279716343,50.15535440985249,2000.0,50.17959097041405,59.747491734051759,0.0499949,7430400.0 
 01/27  18:00:00,-9.4,19.35099963006305,0.0,0.0,0.0,0.0,0.0,1237.2968418425162,0.0499949,59.7213451023758,50.23066983244456,2000.0,50.21211207815038,59.779983073573109,0.0499949,7560000.0 
 01/27  19:00:00,-9.0,20.785578587008879,0.0,0.0,0.0,0.0,0.0,851.295516905633,0.03023129109375,59.781457910897199,49.59554552456958,1247.1184242877366,50.1328899973241,60.0,0.03023129109375,4842426.327435852 
 01/27  20:00:00,-8.0,21.00618254523183,0.0,0.0,0.0,0.0,0.0,791.3097285855506,0.029996940000000004,59.84758909575384,49.86851018273786,1248.2384639218026,50.0473559640558,60.0,0.029996940000000004,4781658.470118489 
 01/27  21:00:00,-7.1,18.821871831109225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.8733805652582,59.8733805652582,0.0,50.028152073505129,50.028152073505129,0.0,259200.0 
 01/27  22:00:00,-6.1,18.32653616296526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.873380565258219,59.873380565258219,0.0,50.02815207350513,50.02815207350513,0.0,324000.0 
 01/27  23:00:00,-5.7,17.8747807139336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.873380565258219,59.873380565258219,0.0,50.02815207350513,50.02815207350513,0.0,216000.0 
 01/27  24:00:00,-5.4,17.45426175579229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.873380565258219,59.873380565258219,0.0,50.02815207350513,50.02815207350513,0.0,57600.0 
