Date/Time,DistrictHeating:Facility [J](Hourly) 
 05/27  01:00:00,3239179.746611419 
 05/27  02:00:00,3831787.4575432494 
 05/27  03:00:00,4162342.8544088315 
 05/27  04:00:00,3978902.801582409 
 05/27  05:00:00,2592887.958468881 
 05/27  06:00:00,1069051.8252666009 
 05/27  07:00:00,0.0 
 05/27  08:00:00,0.0 
 05/27  09:00:00,0.0 
 05/27  10:00:00,0.0 
 05/27  11:00:00,0.0 
 05/27  12:00:00,0.0 
 05/27  13:00:00,0.0 
 05/27  14:00:00,0.0 
 05/27  15:00:00,0.0 
 05/27  16:00:00,0.0 
 05/27  17:00:00,0.0 
 05/27  18:00:00,0.0 
 05/27  19:00:00,0.0 
 05/27  20:00:00,458415.13163390356 
 05/27  21:00:00,1834810.4789609796 
 05/27  22:00:00,2448923.00857606 
 05/27  23:00:00,2911173.401797654 
 05/27  24:00:00,3066894.5283024946 
