,OUT||Base8||Tout,OUT||Base8||mdot
2000-01-01 01:00:00,75.0,0.0
2000-01-01 02:00:00,75.0,0.0
2000-01-01 03:00:00,75.0,0.0
2000-01-01 04:00:00,75.0,0.0
2000-01-01 05:00:00,75.0,0.0
2000-01-01 06:00:00,75.0,270.522203322758
2000-01-01 07:00:00,75.0,278.86242857250926
2000-01-01 08:00:00,75.0,204.61459047948324
2000-01-01 09:00:00,75.0,331.5325296709531
2000-01-01 10:00:00,75.0,310.8027247760964
2000-01-01 11:00:00,75.0,440.2495953609368
2000-01-01 12:00:00,75.0,464.2830107569317
2000-01-01 13:00:00,74.99999999999999,450.2582640735755
2000-01-01 14:00:00,75.0,451.15636612555437
2000-01-01 15:00:00,75.0,442.8001697487043
2000-01-01 16:00:00,75.0,447.15874743599426
2000-01-01 17:00:00,75.0,301.04155279906064
2000-01-01 18:00:00,75.0,211.0947684049176
2000-01-01 19:00:00,75.0,207.9053720699893
2000-01-01 20:00:00,75.0,184.24933108527665
2000-01-01 21:00:00,75.0,0.0
2000-01-01 22:00:00,75.0,0.0
2000-01-01 23:00:00,75.0,0.0
2000-01-02 00:00:00,75.0,0.0
2000-01-02 01:00:00,75.0,0.0
2000-01-02 02:00:00,75.0,0.0
2000-01-02 03:00:00,75.0,0.0
2000-01-02 04:00:00,75.0,0.0
2000-01-02 05:00:00,75.0,0.0
2000-01-02 06:00:00,75.0,335.5329856814125
2000-01-02 07:00:00,75.0,316.07363289340225
2000-01-02 08:00:00,75.0,263.8573264888894
2000-01-02 09:00:00,75.0,488.2804533409344
2000-01-02 10:00:00,75.0,507.0
2000-01-02 11:00:00,75.0,469.7847566634983
2000-01-02 12:00:00,75.0,451.77543764787106
2000-01-02 13:00:00,75.0,471.478271689941
2000-01-02 14:00:00,75.0,466.35008224059845
2000-01-02 15:00:00,75.0,504.02834865750987
2000-01-02 16:00:00,75.0,507.0
2000-01-02 17:00:00,75.0,504.3972105381093
2000-01-02 18:00:00,75.0,455.24281152047735
2000-01-02 19:00:00,75.0,256.07312254516546
2000-01-02 20:00:00,75.0,220.2909846777917
2000-01-02 21:00:00,75.0,0.0
2000-01-02 22:00:00,75.0,0.0
2000-01-02 23:00:00,75.0,0.0
2000-01-03 00:00:00,75.0,0.0
2000-01-03 01:00:00,75.0,0.0
2000-01-03 02:00:00,75.0,0.0
2000-01-03 03:00:00,75.0,0.0
2000-01-03 04:00:00,75.0,0.0
2000-01-03 05:00:00,75.0,0.0
2000-01-03 06:00:00,75.0,343.34723613688334
2000-01-03 07:00:00,75.0,343.78953771423176
2000-01-03 08:00:00,75.0,381.81842683590315
2000-01-03 09:00:00,75.0,507.0
2000-01-03 10:00:00,75.0,596.8120848728289
2000-01-03 11:00:00,75.0,497.38497466874014
2000-01-03 12:00:00,75.0,471.7086323763347
2000-01-03 13:00:00,75.0,454.4733816305937
2000-01-03 14:00:00,75.0,471.51368786471517
2000-01-03 15:00:00,75.0,491.58839739590684
2000-01-03 16:00:00,75.0,503.22584862716707
2000-01-03 17:00:00,75.0,483.5940424410235
2000-01-03 18:00:00,75.0,459.76009738735644
2000-01-03 19:00:00,75.0,268.9158942969795
2000-01-03 20:00:00,75.0,226.30862860548945
2000-01-03 21:00:00,75.0,0.0
2000-01-03 22:00:00,75.0,0.0
2000-01-03 23:00:00,75.0,0.0
2000-01-04 00:00:00,75.0,0.0
2000-01-04 01:00:00,75.0,0.0
2000-01-04 02:00:00,75.0,0.0
2000-01-04 03:00:00,75.0,0.0
2000-01-04 04:00:00,75.0,0.0
2000-01-04 05:00:00,75.0,0.0
2000-01-04 06:00:00,75.0,339.68707010971167
2000-01-04 07:00:00,75.0,349.76107046400233
2000-01-04 08:00:00,75.0,393.17733130232693
2000-01-04 09:00:00,75.0,507.0
2000-01-04 10:00:00,75.0,507.0
2000-01-04 11:00:00,75.0,549.6639482251301
2000-01-04 12:00:00,75.0,507.0
2000-01-04 13:00:00,75.0,507.0
2000-01-04 14:00:00,75.0,507.0
2000-01-04 15:00:00,75.0,507.0
2000-01-04 16:00:00,75.0,507.0
2000-01-04 17:00:00,75.0,507.0
2000-01-04 18:00:00,75.0,507.0
2000-01-04 19:00:00,75.0,268.5415053166095
2000-01-04 20:00:00,75.0,316.1525970756792
2000-01-04 21:00:00,75.0,0.0
2000-01-04 22:00:00,75.0,0.0
2000-01-04 23:00:00,75.0,0.0
2000-01-05 00:00:00,75.0,0.0
2000-01-05 01:00:00,75.0,0.0
2000-01-05 02:00:00,75.0,0.0
2000-01-05 03:00:00,75.0,0.0
2000-01-05 04:00:00,75.0,0.0
2000-01-05 05:00:00,75.0,0.0
2000-01-05 06:00:00,75.0,416.92651288021017
2000-01-05 07:00:00,75.0,447.6459884018175
2000-01-05 08:00:00,75.0,442.1528116785944
2000-01-05 09:00:00,75.0,507.0
2000-01-05 10:00:00,75.0,507.0
2000-01-05 11:00:00,75.0,507.0
2000-01-05 12:00:00,75.0,507.0
2000-01-05 13:00:00,75.0,507.0
2000-01-05 14:00:00,75.0,507.0
2000-01-05 15:00:00,75.0,507.0
2000-01-05 16:00:00,75.0,507.0
2000-01-05 17:00:00,75.0,507.0
2000-01-05 18:00:00,75.0,507.0
2000-01-05 19:00:00,75.0,287.1171972789728
2000-01-05 20:00:00,75.0,290.64152182490113
2000-01-05 21:00:00,75.0,0.0
2000-01-05 22:00:00,75.0,0.0
2000-01-05 23:00:00,75.0,0.0
2000-01-06 00:00:00,75.0,0.0
2000-01-06 01:00:00,75.0,0.0
2000-01-06 02:00:00,75.0,0.0
2000-01-06 03:00:00,75.0,0.0
2000-01-06 04:00:00,75.0,0.0
2000-01-06 05:00:00,75.0,0.0
2000-01-06 06:00:00,75.0,340.8684509982356
2000-01-06 07:00:00,75.0,339.4085849186345
2000-01-06 08:00:00,75.0,363.701176337524
2000-01-06 09:00:00,75.0,507.0
2000-01-06 10:00:00,75.0,611.3966452995141
2000-01-06 11:00:00,75.0,512.5855226401242
2000-01-06 12:00:00,75.0,480.47018138062424
2000-01-06 13:00:00,75.0,480.40070187546047
2000-01-06 14:00:00,75.0,507.0
2000-01-06 15:00:00,75.0,507.0
2000-01-06 16:00:00,75.0,507.0
2000-01-06 17:00:00,75.0,507.0
2000-01-06 18:00:00,75.0,484.71067039225863
2000-01-06 19:00:00,75.0,277.95123611939334
2000-01-06 20:00:00,75.0,225.7575838330487
2000-01-06 21:00:00,75.0,0.0
2000-01-06 22:00:00,75.0,0.0
2000-01-06 23:00:00,75.0,0.0
2000-01-07 00:00:00,75.0,0.0
2000-01-07 01:00:00,75.0,0.0
2000-01-07 02:00:00,75.0,0.0
2000-01-07 03:00:00,75.0,0.0
2000-01-07 04:00:00,75.0,0.0
2000-01-07 05:00:00,75.0,0.0
2000-01-07 06:00:00,75.0,343.0880183813923
2000-01-07 07:00:00,75.0,404.3087785457145
2000-01-07 08:00:00,75.0,458.2018163520483
2000-01-07 09:00:00,75.0,460.86731424530876
2000-01-07 10:00:00,75.0,458.9072519735821
2000-01-07 11:00:00,75.0,507.0
2000-01-07 12:00:00,75.0,507.0
2000-01-07 13:00:00,75.0,442.36741576335777
2000-01-07 14:00:00,75.0,506.7828243615303
2000-01-07 15:00:00,75.0,506.545615234545
2000-01-07 16:00:00,75.0,507.0
2000-01-07 17:00:00,75.0,306.3703761086718
2000-01-07 18:00:00,75.0,230.39620486253105
