Date/Time;Environment:Site Outdoor Air Drybulb Temperature [C](Hourly);ZONE ONE LIGHTS:Lights Electric Energy [J](Hourly);ZONE ONE:Zone Air Temperature [C](Hourly);RADIATOR:Baseboard Total Heating Rate [W](Hourly);RADIATOR:Baseboard Hot Water Mass Flow Rate [kg/s](Hourly);RADIATOR:Baseboard Water Inlet Temperature [C](Hourly);RADIATOR:Baseboard Water Outlet Temperature [C](Hourly);DISTRICT HEATING 1:District Heating Rate [W](Hourly);DISTRICT HEATING 1:District Heating Inlet Temperature [C](Hourly);DISTRICT HEATING 1:District Heating Outlet Temperature [C](Hourly);DISTRICT HEATING 1:District Heating Mass Flow Rate [kg/s](Hourly);DistrictHeating:Facility [J](Hourly) 
 01/01  01:00:00;3.25;180000;20.06144072;766.2250144;0.009159222;55;23.66557457;1199.197999;23.67407584;55;0.009159222;4317112.798
 01/01  02:00:00;4.758333333;180000;20.05627346;701.3506041;0.008353233;55;23.52809129;1093.59419;23.676181;55;0.008353233;3936939.084
 01/01  03:00:00;5.825;180000;20.05172717;650.366284;0.007725245;55;23.41503157;1011.704095;23.66609958;55;0.007725245;3642134.742
 01/01  04:00:00;6.55;180000;20.04870572;615.9041353;0.007302315;55;23.33533652;956.8335726;23.64922221;55;0.007302315;3444600.861
 01/01  05:00:00;7.033333333;180000;20.04690193;592.8731251;0.007020361;55;23.28101368;920.4833959;23.62903053;55;0.007020361;3313740.225
 01/01  06:00:00;7.375;180000;20.04535502;577.1534064;0.00682812;55;23.24276254;895.8966937;23.60741367;55;0.00682812;3225228.097
 01/01  07:00:00;7.5;180000;20.04445795;568.4194511;0.00672132;55;23.22138096;882.4995892;23.58558221;55;0.00672132;3176998.521
 01/01  08:00:00;7.033333333;180000;20.04500812;577.3220608;0.006830968;55;23.24248535;897.4816259;23.56521804;55;0.006830968;3230933.853
 01/01  09:00:00;6.291666667;180000;20.04763484;605.359325;0.007175578;55;23.31008579;943.2215698;23.54979218;55;0.007175578;3395597.651
 01/01  10:00:00;5.533333333;180000;20.04842781;611.2771938;0.007246779;55;23.32465753;952.897729;23.53928479;55;0.007246779;3430431.824
 01/01  11:00:00;5.2;180000;20.04429035;562.7071426;0.006652967;55;23.20802677;875.1838049;23.52595219;55;0.006652967;3150661.698
 01/01  12:00:00;5.2;180000;20.04022156;522.1582887;0.006163108;55;23.10621992;811.2809962;23.50529262;55;0.006163108;2920611.586
 01/01  13:00:00;5.2;180000;20.03863891;506.863435;0.005979411;55;23.06672105;787.6643138;23.48275404;55;0.005979411;2835591.53
 01/01  14:00:00;4.85;180000;20.03873738;513.1575784;0.006057732;55;23.08211181;798.5547159;23.46039824;55;0.006057732;2874796.977
 01/01  15:00:00;4.308333333;180000;20.04777439;624.8903365;0.007427628;55;23.35338936;979.4952235;23.44882657;55;0.007427628;3526182.805
