 TIME                    	HPT2pin                  	HPT1pin                  	HPT2mout                 	HPT1mout                 	
  +0.0000000000000000E+00	  +8.5271999999999988E+00	  +3.4551526740000000E+01	  +1.0044724477999999E+05	  +1.1231088284669000E+05	
  +1.2500000000000000E-01	  +3.5253089454947585E+01	  +1.4017368182175335E+02	  +1.0141712699196376E+05	  +1.1231000000000000E+05	
  +2.5000000000000000E-01	  +3.5255029584389725E+01	  +1.4017424777567322E+02	  +1.0141712699196376E+05	  +1.1231000000000000E+05	
  +3.7500000000000000E-01	  +3.5240147308138972E+01	  +1.4017050549519672E+02	  +1.0137401696739266E+05	  +1.1231000000000000E+05	
  +5.0000000000000000E-01	  +3.5252717832918464E+01	  +1.4017366636814137E+02	  +1.0141177682733412E+05	  +1.1231000000000000E+05	
  +6.2500000000000000E-01	  +3.5252071741855779E+01	  +1.4017350388205534E+02	  +1.0141177682733412E+05	  +1.1231000000000000E+05	
  +7.5000000000000000E-01	  +3.5251237454500398E+01	  +1.4017329407042274E+02	  +1.0140628840940993E+05	  +1.1231000000000000E+05	
  +8.7500000000000000E-01	  +3.5251834982268349E+01	  +1.4017344433984891E+02	  +1.0140758169249396E+05	  +1.1231000000000000E+05	
  +1.0000000000000000E+00	  +3.5252346298481619E+01	  +1.4017357293023429E+02	  +1.0140912059268089E+05	  +1.1231000000000000E+05	
  +1.1250000000000000E+00	  +3.5251762601832489E+01	  +1.4017342613710915E+02	  +1.0140697429168518E+05	  +1.1231000000000000E+05	
  +1.2500000000000000E+00	  +3.5252130935288896E+01	  +1.4017351876855483E+02	  +1.0140953918906611E+05	  +1.1231000000000000E+05	
  +1.3750000000000000E+00	  +3.5252531774986139E+01	  +1.4017361957596032E+02	  +1.0141008714672188E+05	  +1.1231000000000000E+05	
  +1.5000000000000000E+00	  +3.5252546112103801E+01	  +1.4017362318163015E+02	  +1.0140994533006306E+05	  +1.1231000000000000E+05	
  +1.6250000000000000E+00	  +3.5252634912446666E+01	  +1.4017364551423313E+02	  +1.0141012623204700E+05	  +1.1231000000000000E+05	
  +1.7500000000000000E+00	  +3.5252260435290488E+01	  +1.4017355133646711E+02	  +1.0140887505525831E+05	  +1.1231000000000000E+05	
  +1.8750000000000000E+00	  +3.5252423289749899E+01	  +1.4017359229284003E+02	  +1.0140956254447164E+05	  +1.1231000000000000E+05	
  +2.0000000000000000E+00	  +3.5252453605372104E+01	  +1.4017359991695494E+02	  +1.0140980902502104E+05	  +1.1231000000000000E+05	
  +2.1250000000000000E+00	  +3.5252504752060119E+01	  +1.4017361277991540E+02	  +1.0140980217341223E+05	  +1.1231000000000000E+05	
  +2.2500000000000000E+00	  +3.5252537438370773E+01	  +1.4017362100025585E+02	  +1.0140987128046982E+05	  +1.1231000000000000E+05	
  +2.3750000000000000E+00	  +3.5252466196560363E+01	  +1.4017360308353094E+02	  +1.0140969299638047E+05	  +1.1231000000000000E+05	
