 TIME                    	LPT3pin                  	LPT2pin                  	LPT1pin                  	LPT3mout                 	LPT2mout                 	LPT1mout                 	
  +0.0000000000000000E+00	  +4.4068718000000007E-01	  +2.1157823199999997E+00	  +4.3420704199999998E+00	  +3.7574630962049996E+04	  +8.7466981228440010E+04	  +9.1153244492009995E+04	
  +1.2500000000000000E-01	  +4.6616496403190553E+00	  +6.2283638345018648E+00	  +1.0003397313468049E+01	  +8.4264565104844150E+04	  +9.5283671743413681E+04	  +9.7187184474645415E+04	
  +2.5000000000000000E-01	  +4.6616496403190553E+00	  +6.2283638345018648E+00	  +9.9995109360567849E+00	  +8.4264565104844150E+04	  +9.5283671743413681E+04	  +9.7164646276509971E+04	
  +3.7500000000000000E-01	  +4.6626280252347305E+00	  +6.2297626734328917E+00	  +1.0001276823207251E+01	  +8.4282409972725334E+04	  +9.5332321411813391E+04	  +9.7178849132683798E+04	
  +5.0000000000000000E-01	  +4.6636302106986305E+00	  +6.2304948198289409E+00	  +9.9989992289229477E+00	  +8.4300688906377196E+04	  +9.5332321411813391E+04	  +9.7135441366227722E+04	
  +6.2500000000000000E-01	  +4.6662975524692021E+00	  +6.2316183409275885E+00	  +1.0002242320490929E+01	  +8.4349338574776906E+04	  +9.5345311756217023E+04	  +9.7175824262568029E+04	
  +7.5000000000000000E-01	  +4.6661494542036746E+00	  +6.2323509751191581E+00	  +1.0002891302915746E+01	  +8.4346637415864781E+04	  +9.5301337721542484E+04	  +9.7178881369544411E+04	
  +8.7500000000000000E-01	  +4.6666508859518903E+00	  +6.2333931268294469E+00	  +1.0002959773905722E+01	  +8.4355783008280865E+04	  +9.5341457205956380E+04	  +9.7169656553682522E+04	
  +1.0000000000000000E+00	  +4.6639077758185481E+00	  +6.2338692875243993E+00	  +1.0003320416834725E+01	  +8.4305751430551609E+04	  +9.5344964047046349E+04	  +9.7170671605540992E+04	
  +1.1250000000000000E+00	  +4.6657598298495682E+00	  +6.2316621540643835E+00	  +1.0001729187388571E+01	  +8.4339531067667514E+04	  +9.5339610653895026E+04	  +9.7167242659652387E+04	
