Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),ZONE ONE:Zone Air Temperature [C](Hourly),ERV_1_HX:Heat Exchanger Total Heating Rate [W](Hourly),ERV_1_FANSUPPLY:Fan Electric Power [W](Hourly),ERV_1_FANSUPPLY:Fan Air Mass Flow Rate [kg/s](Hourly),ERV_1_FANEXHAUST:Fan Electric Power [W](Hourly),ERV_1_FANEXHAUST:Fan Air Mass Flow Rate [kg/s](Hourly),RADIATOR:Baseboard Total Heating Rate [W](Hourly),RADIATOR:Baseboard Hot Water Mass Flow Rate [kg/s](Hourly),RADIATOR:Baseboard Water Inlet Temperature [C](Hourly),RADIATOR:Baseboard Water Outlet Temperature [C](Hourly),DISTRICT HEATING 1:District Heating Rate [W](Hourly),DISTRICT HEATING 1:District Heating Inlet Temperature [C](Hourly),DISTRICT HEATING 1:District Heating Outlet Temperature [C](Hourly),DISTRICT HEATING 1:District Heating Mass Flow Rate [kg/s](Hourly),DistrictHeating:Facility [J](Hourly) 
 01/01  01:00:00,4.0,18.2247776016904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,55.0,0.0,45.53841546632255,45.53841546632255,0.0,43200.0 
 01/01  02:00:00,5.3,18.137807750435927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,55.0,0.0,45.53841546632255,45.53841546632255,0.0,43200.0 
 01/01  03:00:00,6.2,18.125711122241019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,55.0,0.0,45.53841546632255,45.53841546632255,0.0,43200.0 
 01/01  04:00:00,6.8,18.1031197750663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,55.0,0.0,45.53841546632255,45.53841546632255,0.0,43200.0 
 01/01  05:00:00,7.2,18.065179819743287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,55.0,0.0,45.53841546632255,45.53841546632255,0.0,43200.0 
 01/01  06:00:00,7.5,20.448999286881795,0.0,0.0,0.0,0.0,0.0,534.5821106238953,0.019997960000000007,55.0,49.22338216060493,790.8232146428878,45.53768905982151,51.21443051008116,0.019997960000000007,2890163.5727143965 
 01/01  07:00:00,7.5,20.63344750956524,0.0,0.0,0.0,0.0,0.0,557.7098510233482,0.022497705000000004,55.0,47.74043593592063,892.7541964457466,45.508854022017988,52.62865953892117,0.022497705000000004,3278715.107204688 
 01/01  08:00:00,6.7,20.644052509081,0.0,0.0,0.0,0.0,0.0,473.25950026702858,0.019997960000000003,55.0,48.55653195534155,795.449454320141,45.48540396678558,51.82920113248253,0.019997960000000003,3043618.0355525074 
 01/01  09:00:00,6.0,20.68841620945211,0.0,0.0,0.0,0.0,0.0,514.4264576422632,0.019997960000000003,55.0,48.56068930682487,796.9016959008325,45.46800718573738,51.82339142294185,0.019997960000000003,3135246.1052429967 
 01/01  10:00:00,5.2,20.72919938916027,0.0,0.0,0.0,0.0,0.0,522.4513842802976,0.019997960000000003,55.0,48.57058485992765,797.846973711259,45.45670732818288,51.81963371039038,0.019997960000000003,3124249.105360532 
