 TIME                    	HPT_Power                	LPT_Power                	Cond_Heat                	Cond_TES_FGC_Heat        	FGC_Heat                 	TES_Heat                 	DeaPumps_Power           	CondPump_Power           	mdot_FUEL                	ToTES                    	
  +0.0000000000000000E+00	  +2.6390644047117000E+05	  +2.0721471574886001E+05	  +0.0000000000000000E+00	  +1.6552850680800000E+08	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +1.1490662089792503E+00	  +0.0000000000000000E+00	
  +1.0000000000000000E+00	  +2.4427186799074292E+07	  +8.4549502068149727E+06	  +0.0000000000000000E+00	  +1.6345355209200001E+08	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +1.1205441276250272E+06	  +3.3835654044424664E+04	  +1.2181274100694930E+02	  +0.0000000000000000E+00	
  +2.0000000000000000E+00	  +2.5063413549284622E+07	  +8.8753137187610343E+06	  +0.0000000000000000E+00	  +1.6204517175599998E+08	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +1.1207253486436363E+06	  +3.4554479391995083E+04	  +1.2171185188955801E+02	  +0.0000000000000000E+00	
  +3.0000000000000000E+00	  +2.5493388120050259E+07	  +9.0811922926836107E+06	  +0.0000000000000000E+00	  +1.6303784877000001E+08	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +1.1209289583515124E+06	  +3.4949093841413807E+04	  +1.2163667374171679E+02	  +0.0000000000000000E+00	
  +4.0000000000000000E+00	  +2.5508502483481195E+07	  +9.0827394477352612E+06	  +0.0000000000000000E+00	  +1.6337566031400001E+08	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +1.1210201116438510E+06	  +3.4950497704653040E+04	  +1.2164147925724643E+02	  +0.0000000000000000E+00	
  +5.0000000000000000E+00	  +2.6045748122083545E+07	  +9.2462778483638912E+06	  +0.0000000000000000E+00	  +1.6586343714600000E+08	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +1.1211905750186055E+06	  +3.5561893254412134E+04	  +1.2159880742531686E+02	  +0.0000000000000000E+00	
  +6.0000000000000000E+00	  +2.6752150636191837E+07	  +9.5034416489121076E+06	  +0.0000000000000000E+00	  +1.6947205817399999E+08	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +1.1215256691981943E+06	  +3.6328828669520757E+04	  +1.2152727591520042E+02	  +0.0000000000000000E+00	
  +7.0000000000000000E+00	  +2.6477302088787228E+07	  +9.3255716502822936E+06	  +0.0000000000000000E+00	  +1.6705439692200002E+08	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +1.1216346894753824E+06	  +3.6198361906583799E+04	  +1.2150066740324021E+02	  +0.0000000000000000E+00	
  +8.0000000000000000E+00	  +2.5699271273076840E+07	  +8.9492011607029829E+06	  +0.0000000000000000E+00	  +1.6119217564199999E+08	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +1.1212318461064454E+06	  +3.5589585469007849E+04	  +1.2158045260906670E+02	  +0.0000000000000000E+00	
  +9.0000000000000000E+00	  +2.5509081713097677E+07	  +8.8437801351242419E+06	  +0.0000000000000000E+00	  +1.5954409447200000E+08	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +1.1212116367997897E+06	  +3.5447215977490647E+04	  +1.2159338203783172E+02	  +0.0000000000000000E+00	
  +1.0000000000000000E+01	  +2.5864194498335529E+07	  +8.9902905192759857E+06	  +0.0000000000000000E+00	  +1.6265364825599998E+08	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +1.1212259316757692E+06	  +3.5840980803401195E+04	  +1.2160796162074499E+02	  +0.0000000000000000E+00	
