Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),ZONE ONE:Zone Mean Air Temperature [C](Hourly),RADIATOR:Baseboard Total Heating Rate [W](Hourly),RADIATOR:Baseboard Hot Water Mass Flow Rate [kg/s](Hourly),RADIATOR:Baseboard Water Inlet Temperature [C](Hourly),RADIATOR:Baseboard Water Outlet Temperature [C](Hourly),DISTRICT HEATING 1:District Heating Rate [W](Hourly),DISTRICT HEATING 1:District Heating Inlet Temperature [C](Hourly),DISTRICT HEATING 1:District Heating Outlet Temperature [C](Hourly),DISTRICT HEATING 1:District Heating Mass Flow Rate [kg/s](Hourly),DistrictHeating:Facility [J](Hourly) 
 05/27  01:00:00,3.3366666666666657,20.108453475703248,554.2758621555663,0.021104617942708339,60.0,52.792260714108717,899.7721518365053,49.80305456608178,56.94105678645098,0.021104617942708339,3239179.746611419 
 05/27  02:00:00,1.345,20.101700244801525,647.7574937261747,0.024984430494791666,60.0,52.19318353588889,1064.3854048731248,49.80974402105435,57.62180988315046,0.024984430494791666,3831787.4575432494 
 05/27  03:00:00,1.045,20.131855497164293,703.9085252833672,0.027226389291666668,60.0,51.526455973961997,1156.2063484468974,49.84216960417003,58.30644163832794,0.027226389291666668,4162342.8544088315 
 05/27  04:00:00,0.7449999999999999,20.12194678362553,675.4265787304521,0.026096296239583335,60.0,51.861611595819308,1105.2507782173357,49.869765827296337,57.97367262304959,0.026096296239583335,3978902.801582409 
 05/27  05:00:00,1.736666666666667,20.145804011383818,446.1349533765913,0.016998266000000006,60.0,54.165204496980788,720.2466551302447,49.864390510663579,55.60723321093183,0.016998266000000006,2592887.958468881 
 05/27  06:00:00,3.9366666666666667,20.219250303153009,183.20605542969978,0.006999286000000001,60.0,57.595973785013679,296.95884035183357,49.85133031051732,52.21911497806031,0.006999286000000001,1069051.8252666009 
 05/27  07:00:00,6.136666666666667,20.510293727911539,0.0,0.0,60.0,60.0,0.0,49.84848103810115,49.84848103810115,0.0,0.0 
 05/27  08:00:00,7.975,22.103006238219704,0.0,0.0,60.0,60.0,0.0,49.84848103810115,49.84848103810115,0.0,0.0 
 05/27  09:00:00,9.474999999999998,23.681135617249699,0.0,0.0,60.0,60.0,0.0,49.84848103810115,49.84848103810115,0.0,0.0 
 05/27  10:00:00,10.974999999999998,24.59699592166372,0.0,0.0,60.0,60.0,0.0,49.84848103810115,49.84848103810115,0.0,0.0 
 05/27  11:00:00,11.441666666666665,24.772164108536477,0.0,0.0,60.0,60.0,0.0,49.84848103810115,49.84848103810115,0.0,0.0 
 05/27  12:00:00,10.941666666666663,24.23581476406791,0.0,0.0,60.0,60.0,0.0,49.84848103810115,49.84848103810115,0.0,0.0 
 05/27  13:00:00,10.441666666666665,23.442856829726634,0.0,0.0,60.0,60.0,0.0,49.84848103810115,49.84848103810115,0.0,0.0 
 05/27  14:00:00,10.458333333333333,23.167006239593836,0.0,0.0,60.0,60.0,0.0,49.84848103810115,49.84848103810115,0.0,0.0 
 05/27  15:00:00,10.958333333333334,23.554778819292726,0.0,0.0,60.0,60.0,0.0,49.84848103810115,49.84848103810115,0.0,0.0 
 05/27  16:00:00,11.458333333333334,24.116581233050913,0.0,0.0,60.0,60.0,0.0,49.84848103810115,49.84848103810115,0.0,0.0 
 05/27  17:00:00,11.648333333333337,24.17663401205733,0.0,0.0,60.0,60.0,0.0,49.84848103810115,49.84848103810115,0.0,0.0 
 05/27  18:00:00,11.54833333333333,23.324359379932628,0.0,0.0,60.0,60.0,0.0,49.84848103810115,49.84848103810115,0.0,0.0 
 05/27  19:00:00,11.448333333333335,21.85216081981303,0.0,0.0,60.0,60.0,0.0,49.84848103810115,49.84848103810115,0.0,0.0 
 05/27  20:00:00,10.625,20.387503739303804,78.27087244836564,0.0029996940000000004,60.0,58.96953939026494,127.33753656497319,49.8476832388101,50.86300221782717,0.0029996940000000004,458415.13163390356 
 05/27  21:00:00,9.073333333333333,20.184102020265447,314.31461850971029,0.011998776000000005,60.0,55.88261301594967,509.66957748916107,49.84094977992977,53.904773902224679,0.011998776000000005,1834810.4789609796 
 05/27  22:00:00,7.525,20.158047182391959,419.6293034981701,0.015998368000000007,60.0,54.51100472464778,680.2563912711279,49.830354904843819,55.25434690451867,0.015998368000000007,2448923.00857606 
 05/27  23:00:00,6.386666666666668,20.16465114253638,498.5674236015189,0.018998062000000004,60.0,53.48165466111505,808.6592782771261,49.81945363801041,56.26726327450104,0.018998062000000004,2911173.401797654 
 05/27  24:00:00,5.638333333333334,20.192371288776259,524.4752452583054,0.019997960000000003,60.0,53.145005055529278,851.9151467506929,49.81104685534513,56.60375798208476,0.019997960000000003,3066894.5283024946 
