 TIME                    	Wgross_MW                	Wnet_MW                  	Qboiler_MW               	Q_LHV_MW                 	eta_gross                	eta_net                  	eta_CHP                  	
  +0.0000000000000000E+00	  +1.1915360675255278E-01	  +1.0723824607729750E-01	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +1.1915360675255275E+01	  +1.0723824607729748E+01	  +1.1072382460772974E+02	
  +1.2500000000000000E-01	  +2.8729736868823423E+01	  +2.9172310643959094E+01	  +7.7828177007255050E+01	  +9.3768887960548241E+01	  +3.0638879796581359E-01	  +3.1110863398777722E-01	  +3.2177315205714724E-01	
  +2.5000000000000000E-01	  +2.9338136020645983E+01	  +2.6058695576194420E+01	  +7.7295319797339417E+01	  +9.3126891322095673E+01	  +3.1503398861640186E-01	  +2.7981923595050384E-01	  +2.9055727289991007E-01	
  +3.7500000000000000E-01	  +2.8713780576158140E+01	  +2.9096677529983545E+01	  +7.7847996750183739E+01	  +9.3792767168896063E+01	  +3.0614066993515809E-01	  +3.1022304180010057E-01	  +3.2088484473208212E-01	
  +5.0000000000000000E-01	  +2.9338149773909986E+01	  +2.6058707724073255E+01	  +7.7295290813026867E+01	  +9.3126856401237177E+01	  +3.1503425443146638E-01	  +2.7981947132199203E-01	  +2.9055751229796462E-01	
  +6.2500000000000000E-01	  +2.8713776584172862E+01	  +2.9079776387922823E+01	  +7.7847984870803202E+01	  +9.3792752856389399E+01	  +3.0614067408958462E-01	  +3.1004289246577793E-01	  +3.2070469702472021E-01	
  +7.5000000000000000E-01	  +2.9338194182033536E+01	  +2.6058747458914929E+01	  +7.7295257238017939E+01	  +9.3126815949419196E+01	  +3.1503486813044540E-01	  +2.7982001954268954E-01	  +2.9055806518298222E-01	
  +8.7500000000000000E-01	  +2.8713782213031742E+01	  +2.9062888754823575E+01	  +7.7847972863321715E+01	  +9.3792738389544226E+01	  +3.0614078132335115E-01	  +3.0986288761629155E-01	  +3.2052469381973936E-01	
  +1.0000000000000000E+00	  +2.9338203359804751E+01	  +2.6058755486294178E+01	  +7.7295223670363882E+01	  +9.3126775506462494E+01	  +3.1503510349468544E-01	  +2.7982022726091105E-01	  +2.9055827756450608E-01	
  +1.1250000000000000E+00	  +2.8713782251137047E+01	  +2.9050494224580149E+01	  +7.7847964203735145E+01	  +9.3792727956307402E+01	  +3.0614081578385410E-01	  +3.0973077399042165E-01	  +3.2039258137985849E-01	
  +1.2500000000000000E+00	  +2.9338209506152594E+01	  +2.6058760971048404E+01	  +7.7295216903746152E+01	  +9.3126767353911021E+01	  +3.1503519707344901E-01	  +2.7982031065264956E-01	  +2.9055836189628054E-01	
  +1.3750000000000000E+00	  +2.8713782994449559E+01	  +2.9051584276838032E+01	  +7.7847964980694528E+01	  +9.3792728892403034E+01	  +3.0614082065347925E-01	  +3.0974239282626453E-01	  +3.2040420010929155E-01	
  +1.5000000000000000E+00	  +2.9338222637926382E+01	  +2.6058772804711577E+01	  +7.7295219085919285E+01	  +9.3126769983035274E+01	  +3.1503532918913507E-01	  +2.7982042982333277E-01	  +2.9055848076381069E-01	
  +1.6250000000000000E+00	  +2.8713782916442511E+01	  +2.9052673375632637E+01	  +7.7847965805111400E+01	  +9.3792729885676380E+01	  +3.0614081657972464E-01	  +3.0975400130740233E-01	  +3.2041580847751988E-01	
  +1.7500000000000000E+00	  +2.9338222233413543E+01	  +2.6058772455663391E+01	  +7.7295221246344141E+01	  +9.3126772585956786E+01	  +3.1503531604012280E-01	  +2.7982041825416992E-01	  +2.9055846889451603E-01	
  +1.8750000000000000E+00	  +2.8713782899877245E+01	  +2.9053763587207637E+01	  +7.7847966576303733E+01	  +9.3792730814823770E+01	  +3.0614081337035859E-01	  +3.0976562186433049E-01	  +3.2042742892882797E-01	
