 TIME                    	Pump1flow                	PumpDeaLPflow            	PumpDeaHPflow            	
  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +1.1231000000000000E+05	
  +1.2500000000000000E-01	  +8.4264565104844150E+04	  +9.7341499065977652E+04	  +1.1231000000000000E+05	
  +2.5000000000000000E-01	  +8.4264565104844150E+04	  +9.7150729299193961E+04	  +1.1231000000000000E+05	
  +3.7500000000000000E-01	  +8.4264565104844150E+04	  +9.7079872806577216E+04	  +1.1231000000000000E+05	
  +5.0000000000000000E-01	  +8.4282409972725334E+04	  +9.7083786477259535E+04	  +1.1231000000000000E+05	
  +6.2500000000000000E-01	  +8.4300688906377196E+04	  +9.7106042365346730E+04	  +1.1231000000000000E+05	
  +7.5000000000000000E-01	  +8.4349338574776906E+04	  +9.7130642253979720E+04	  +1.1231000000000000E+05	
  +8.7500000000000000E-01	  +8.4346637415864781E+04	  +9.7185182035563834E+04	  +1.1231000000000000E+05	
  +1.0000000000000000E+00	  +8.4355783008280865E+04	  +9.7183607285600781E+04	  +1.1231000000000000E+05	
  +1.1250000000000000E+00	  +8.4305751430551609E+04	  +9.7186818949845328E+04	  +1.1231000000000000E+05	
  +1.2500000000000000E+00	  +8.4339531067667514E+04	  +9.7131527599522087E+04	  +1.1231000000000000E+05	
  +1.3750000000000000E+00	  +8.4340701055668862E+04	  +9.7170471188495765E+04	  +1.1231000000000000E+05	
  +1.5000000000000000E+00	  +8.4339635663976529E+04	  +9.7175330644402464E+04	  +1.1231000000000000E+05	
  +1.6250000000000000E+00	  +8.4343701335053687E+04	  +9.7171215338338981E+04	  +1.1231000000000000E+05	
  +1.7500000000000000E+00	  +8.4336949126008767E+04	  +9.7175994849989118E+04	  +1.1231000000000000E+05	
  +1.8750000000000000E+00	  +8.4335163360224455E+04	  +9.7168073421626221E+04	  +1.1231000000000000E+05	
  +2.0000000000000000E+00	  +8.4340777563442913E+04	  +9.7166015106799779E+04	  +1.1231000000000000E+05	
  +2.1250000000000000E+00	  +8.4340856211377541E+04	  +9.7173110784801946E+04	  +1.1231000000000000E+05	
  +2.2500000000000000E+00	  +8.4339153351912595E+04	  +9.7173021571076853E+04	  +1.1231000000000000E+05	
  +2.3750000000000000E+00	  +8.4338660439587271E+04	  +9.7170580873718587E+04	  +1.1231000000000000E+05	
  +2.5000000000000000E+00	  +8.4337212270628632E+04	  +9.7170025880061265E+04	  +1.1231000000000000E+05	
  +2.6250000000000000E+00	  +8.4337392846141403E+04	  +9.7168472025869618E+04	  +1.1231000000000000E+05	
  +2.7500000000000000E+00	  +8.4338416111096303E+04	  +9.7168760267527483E+04	  +1.1231000000000000E+05	
  +2.8750000000000000E+00	  +8.4338951528571080E+04	  +9.7170092807545589E+04	  +1.1231000000000000E+05	
  +3.0000000000000000E+00	  +8.4338728304964927E+04	  +9.7170663435789247E+04	  +1.1231000000000000E+05	
  +3.1250000000000000E+00	  +8.4338362892152159E+04	  +9.7170307258204368E+04	  +1.1231000000000000E+05	
  +3.2500000000000000E+00	  +8.4338181694030674E+04	  +9.7169849629854027E+04	  +1.1231000000000000E+05	
  +3.3750000000000000E+00	  +8.4338269076505836E+04	  +9.7169664353083834E+04	  +1.1231000000000000E+05	
  +3.5000000000000000E+00	  +8.4338471936228801E+04	  +9.7169803613028533E+04	  +1.1231000000000000E+05	
  +3.6250000000000000E+00	  +8.4338500691483379E+04	  +9.7170049379628195E+04	  +1.1231000000000000E+05	
  +3.7500000000000000E+00	  +8.4338452658730777E+04	  +9.7170070416333183E+04	  +1.1231000000000000E+05	
  +3.8750000000000000E+00	  +8.4338350045573665E+04	  +9.7169994563712942E+04	  +1.1231000000000000E+05	
  +4.0000000000000000E+00	  +8.4338323256352378E+04	  +9.7169874798584642E+04	  +1.1231000000000000E+05	
  +4.1250000000000000E+00	  +8.4338378273921378E+04	  +9.7169851032396007E+04	  +1.1231000000000000E+05	
  +4.2500000000000000E+00	  +8.4338425752180701E+04	  +9.7169925845524616E+04	  +1.1231000000000000E+05	
  +4.3750000000000000E+00	  +8.4338428105564089E+04	  +9.7169980670541147E+04	  +1.1231000000000000E+05	
  +4.5000000000000000E+00	  +8.4338403584839936E+04	  +9.7169974192413400E+04	  +1.1231000000000000E+05	
  +4.6250000000000000E+00	  +8.4338381733684393E+04	  +9.7169944307810481E+04	  +1.1231000000000000E+05	
  +4.7500000000000000E+00	  +8.4338379146145380E+04	  +9.7169919538405797E+04	  +1.1231000000000000E+05	
  +4.8750000000000000E+00	  +8.4338401630429827E+04	  +9.7169920467192656E+04	  +1.1231000000000000E+05	
  +5.0000000000000000E+00	  +8.4338406096793755E+04	  +9.7169947623908520E+04	  +1.1231000000000000E+05	
  +5.1250000000000000E+00	  +8.4338403865007989E+04	  +9.7169952612483045E+04	  +1.1231000000000000E+05	
  +5.2500000000000000E+00	  +8.4338394143883648E+04	  +9.7169947315747122E+04	  +1.1231000000000000E+05	
  +5.3750000000000000E+00	  +8.4338391234328563E+04	  +9.7169936893317805E+04	  +1.1231000000000000E+05	
  +5.5000000000000000E+00	  +8.4338391838258947E+04	  +9.7169933431701182E+04	  +1.1231000000000000E+05	
  +5.6250000000000000E+00	  +8.4338398416559998E+04	  +9.7169931941802977E+04	  +1.1231000000000000E+05	
  +5.7500000000000000E+00	  +8.4338398480549469E+04	  +9.7169939941458229E+04	  +1.1231000000000000E+05	
  +5.8750000000000000E+00	  +8.4338396012099256E+04	  +9.7169940366531548E+04	  +1.1231000000000000E+05	
  +6.0000000000000000E+00	  +8.4338402568339719E+04	  +9.7169939949197142E+04	  +1.1231000000000000E+05	
  +6.1250000000000000E+00	  +8.4338401535937213E+04	  +9.7169946479612932E+04	  +1.1231000000000000E+05	
