 TIME                    	Cooling                  	
  +0.0000000000000000E+00	  +2.5000000000000000E+01	
  +1.2500000000000000E-01	  +6.6106509337948864E+01	
  +2.5000000000000000E-01	  +6.6409112115767300E+01	
  +3.7500000000000000E-01	  +6.6395041913186020E+01	
  +5.0000000000000000E-01	  +6.6350519026036977E+01	
  +6.2500000000000000E-01	  +6.6386525681319569E+01	
  +7.5000000000000000E-01	  +6.6352947522002026E+01	
  +8.7500000000000000E-01	  +6.6384266270015644E+01	
  +1.0000000000000000E+00	  +6.6355021364277533E+01	
  +1.1250000000000000E+00	  +6.6382573577239455E+01	
  +1.2500000000000000E+00	  +6.6356829521630857E+01	
  +1.3750000000000000E+00	  +6.6380675401666622E+01	
  +1.5000000000000000E+00	  +6.6381042502557165E+01	
  +1.6250000000000000E+00	  +6.6357344009172834E+01	
  +1.7500000000000000E+00	  +6.6380232836973363E+01	
  +1.8750000000000000E+00	  +6.6358181573835139E+01	
  +2.0000000000000000E+00	  +6.6379512515615247E+01	
  +2.1250000000000000E+00	  +6.6359504749244721E+01	
  +2.2500000000000000E+00	  +6.6378123905266875E+01	
  +2.3750000000000000E+00	  +6.6360845151161897E+01	
  +2.5000000000000000E+00	  +6.6376842965595600E+01	
  +2.6250000000000000E+00	  +6.6362046428924870E+01	
  +2.7500000000000000E+00	  +6.6375721929871034E+01	
  +2.8750000000000000E+00	  +6.6363090079955924E+01	
  +3.0000000000000000E+00	  +6.6374752351167416E+01	
  +3.1250000000000000E+00	  +6.6363753045821255E+01	
  +3.2500000000000000E+00	  +6.6374125591120730E+01	
  +3.3750000000000000E+00	  +6.6364528831271144E+01	
  +3.5000000000000000E+00	  +6.6373405260539329E+01	
  +3.6250000000000000E+00	  +6.6365196816516004E+01	
  +3.7500000000000000E+00	  +6.6373020976324128E+01	
  +3.8750000000000000E+00	  +6.6365563472433308E+01	
  +4.0000000000000000E+00	  +6.6372487513701032E+01	
  +4.1250000000000000E+00	  +6.6366060227520961E+01	
  +4.2500000000000000E+00	  +6.6372026007898171E+01	
  +4.3750000000000000E+00	  +6.6366487370548427E+01	
  +4.5000000000000000E+00	  +6.6371628674792319E+01	
  +4.6250000000000000E+00	  +6.6366856370316796E+01	
  +4.7500000000000000E+00	  +6.6371286040403234E+01	
  +4.8750000000000000E+00	  +6.6367174465511297E+01	
  +5.0000000000000000E+00	  +6.6370990621760455E+01	
  +5.1250000000000000E+00	  +6.6367448717560919E+01	
  +5.2500000000000000E+00	  +6.6370737169357326E+01	
  +5.3750000000000000E+00	  +6.6367684590068862E+01	
  +5.5000000000000000E+00	  +6.6370518011962304E+01	
  +5.6250000000000000E+00	  +6.6367886862061980E+01	
  +5.7500000000000000E+00	  +6.6370329530160831E+01	
  +5.8750000000000000E+00	  +6.6368061987592156E+01	
  +6.0000000000000000E+00	  +6.6370166926005268E+01	
  +6.1250000000000000E+00	  +6.6368212960098148E+01	
  +6.2500000000000000E+00	  +6.6370026742697604E+01	
  +6.3750000000000000E+00	  +6.6368343125758571E+01	
  +6.5000000000000000E+00	  +6.6369905874600789E+01	
  +6.6250000000000000E+00	  +6.6368455342502045E+01	
  +6.7500000000000000E+00	  +6.6369801678482162E+01	
  +6.8750000000000000E+00	  +6.6368552080103825E+01	
  +7.0000000000000000E+00	  +6.6369711857217496E+01	
  +7.1250000000000000E+00	  +6.6368635472394999E+01	
  +7.2500000000000000E+00	  +6.6369634427242346E+01	
  +7.3750000000000000E+00	  +6.6368707360440411E+01	
  +7.5000000000000000E+00	  +6.6369567679457688E+01	
  +7.6250000000000000E+00	  +6.6368769331192610E+01	
  +7.7500000000000000E+00	  +6.6369510140155626E+01	
  +7.8750000000000000E+00	  +6.6368822724863847E+01	
  +8.0000000000000000E+00	  +6.6369460550338459E+01	
  +8.1250000000000000E+00	  +6.6368868742847823E+01	
  +8.2500000000000000E+00	  +6.6369417809469510E+01	
  +8.3750000000000000E+00	  +6.6368908428707115E+01	
  +8.5000000000000000E+00	  +6.6369380990038479E+01	
  +8.6250000000000000E+00	  +6.6368942629014910E+01	
  +8.7500000000000000E+00	  +6.6369349232449750E+01	
  +8.8750000000000000E+00	  +6.6368972114684368E+01	
  +9.0000000000000000E+00	  +6.6369321855081211E+01	
  +9.1250000000000000E+00	  +6.6368997533448407E+01	
  +9.2500000000000000E+00	  +6.6369299473501087E+01	
  +9.3750000000000000E+00	  +6.6369018946898763E+01	
  +9.5000000000000000E+00	  +6.6369279459775044E+01	
  +9.6250000000000000E+00	  +6.6369037542796178E+01	
  +9.7500000000000000E+00	  +6.6369262169908211E+01	
  +9.8750000000000000E+00	  +6.6369053605613018E+01	
  +1.0000000000000000E+01	  +6.6369247252711631E+01	
  +1.0125000000000000E+01	  +6.6369067457275406E+01	
  +1.0250000000000000E+01	  +6.6369234391113963E+01	
  +1.0375000000000000E+01	  +6.6369079399022567E+01	
  +1.0500000000000000E+01	  +6.6369223303466526E+01	
  +1.0625000000000000E+01	  +6.6369089693509153E+01	
  +1.0750000000000000E+01	  +6.6369213745325183E+01	
  +1.0875000000000000E+01	  +6.6369098567829226E+01	
  +1.1000000000000000E+01	  +6.6369205505799982E+01	
  +1.1125000000000000E+01	  +6.6369106217895748E+01	
  +1.1250000000000000E+01	  +6.6369198402986044E+01	
  +1.1375000000000000E+01	  +6.6369112812579303E+01	
  +1.1500000000000000E+01	  +6.6369192280042228E+01	
  +1.1625000000000000E+01	  +6.6369118497477359E+01	
  +1.1750000000000000E+01	  +6.6369187001821473E+01	
  +1.1875000000000000E+01	  +6.6369123398104492E+01	
  +1.2000000000000000E+01	  +6.6369182451748387E+01	
  +1.2125000000000000E+01	  +6.6369127622656350E+01	
  +1.2250000000000000E+01	  +6.6369178529406895E+01	
  +1.2375000000000000E+01	  +6.6369131264402895E+01	
  +1.2500000000000000E+01	  +6.6369175148193790E+01	
  +1.2625000000000000E+01	  +6.6369134403723692E+01	
  +1.2750000000000000E+01	  +6.6369172233433559E+01	
  +1.2875000000000000E+01	  +6.6369137109970808E+01	
  +1.3000000000000000E+01	  +6.6369169720781159E+01	
  +1.3125000000000000E+01	  +6.6369139442861410E+01	
  +1.3250000000000000E+01	  +6.6369167554778898E+01	
  +1.3375000000000000E+01	  +6.6369141453913272E+01	
  +1.3500000000000000E+01	  +6.6369165687585138E+01	
  +1.3625000000000000E+01	  +6.6369143187539919E+01	
  +1.3750000000000000E+01	  +6.6369164077988017E+01	
  +1.3875000000000000E+01	  +6.6369144681976323E+01	
  +1.4000000000000000E+01	  +6.6369162690435246E+01	
  +1.4125000000000000E+01	  +6.6369145970258032E+01	
  +1.4250000000000000E+01	  +6.6369161494332616E+01	
  +1.4375000000000000E+01	  +6.6369147080812212E+01	
  +1.4500000000000000E+01	  +6.6369160463224361E+01	
  +1.4625000000000000E+01	  +6.6369148038158130E+01	
  +1.4750000000000000E+01	  +6.6369159574359600E+01	
  +1.4875000000000000E+01	  +6.6369148863424186E+01	
  +1.5000000000000000E+01	  +6.6369158808132255E+01	
  +1.5125000000000000E+01	  +6.6369149574848720E+01	
  +1.5250000000000000E+01	  +6.6369158147603684E+01	
  +1.5375000000000000E+01	  +6.6369150188120329E+01	
  +1.5500000000000000E+01	  +6.6369157578222996E+01	
  +1.5625000000000000E+01	  +6.6369150716789704E+01	
  +1.5750000000000000E+01	  +6.6369157087345414E+01	
  +1.5875000000000000E+01	  +6.6369151172518329E+01	
  +1.6000000000000000E+01	  +6.6369156664216490E+01	
  +1.6125000000000000E+01	  +6.6369151565381699E+01	
  +1.6250000000000000E+01	  +6.6369156299451021E+01	
  +1.6375000000000000E+01	  +6.6369151904064836E+01	
  +1.6500000000000000E+01	  +6.6369155985024534E+01	
  +1.6625000000000000E+01	  +6.6369152195998595E+01	
  +1.6750000000000000E+01	  +6.6369155713955621E+01	
  +1.6875000000000000E+01	  +6.6369152447663282E+01	
  +1.7000000000000000E+01	  +6.6369155480284789E+01	
  +1.7125000000000000E+01	  +6.6369152664618312E+01	
  +1.7250000000000000E+01	  +6.6369155278883284E+01	
  +1.7375000000000000E+01	  +6.6369152851621521E+01	
  +1.7500000000000000E+01	  +6.6369155105233702E+01	
  +1.7625000000000000E+01	  +6.6369153012847562E+01	
  +1.7750000000000000E+01	  +6.6369154955552915E+01	
  +1.7875000000000000E+01	  +6.6369153151822800E+01	
  +1.8000000000000000E+01	  +6.6369154826505806E+01	
  +1.8125000000000000E+01	  +6.6369153271625137E+01	
  +1.8250000000000000E+01	  +6.6369154715280672E+01	
  +1.8375000000000000E+01	  +6.6369153374886039E+01	
  +1.8500000000000000E+01	  +6.6369154619398614E+01	
  +1.8625000000000000E+01	  +6.6369153463935277E+01	
  +1.8750000000000000E+01	  +6.6369154536744588E+01	
  +1.8875000000000000E+01	  +6.6369153540683811E+01	
  +1.9000000000000000E+01	  +6.6369154465464703E+01	
  +1.9125000000000000E+01	  +6.6369153606837770E+01	
  +1.9250000000000000E+01	  +6.6369154404056189E+01	
  +1.9375000000000000E+01	  +6.6369153663867507E+01	
  +1.9500000000000000E+01	  +6.6369154351091055E+01	
  +1.9625000000000000E+01	  +6.6369153713031181E+01	
  +1.9750000000000000E+01	  +6.6369154305456362E+01	
  +1.9875000000000000E+01	  +6.6369153755408917E+01	
  +2.0000000000000000E+01	  +6.6369154266112645E+01	
  +2.0125000000000000E+01	  +6.6369153791948008E+01	
  +2.0250000000000000E+01	  +6.6369154232190965E+01	
  +2.0375000000000000E+01	  +6.6369153823440399E+01	
  +2.0500000000000000E+01	  +6.6369154202955770E+01	
  +2.0625000000000000E+01	  +6.6369153850596916E+01	
  +2.0750000000000000E+01	  +6.6369154177728859E+01	
  +2.0875000000000000E+01	  +6.6369153873990740E+01	
  +2.1000000000000000E+01	  +6.6369154156001315E+01	
  +2.1125000000000000E+01	  +6.6369153894165848E+01	
  +2.1250000000000000E+01	  +6.6369154137282777E+01	
  +2.1375000000000000E+01	  +6.6369153911564339E+01	
  +2.1500000000000000E+01	  +6.6369154121115670E+01	
  +2.1625000000000000E+01	  +6.6369153926551007E+01	
  +2.1750000000000000E+01	  +6.6369154107200046E+01	
  +2.1875000000000000E+01	  +6.6369153939475382E+01	
  +2.2000000000000000E+01	  +6.6369154095210348E+01	
  +2.2125000000000000E+01	  +6.6369153950613807E+01	
  +2.2250000000000000E+01	  +6.6369154084872235E+01	
  +2.2375000000000000E+01	  +6.6369153960210383E+01	
  +2.2500000000000000E+01	  +6.6369154075943769E+01	
  +2.2625000000000000E+01	  +6.6369153968508940E+01	
  +2.2750000000000000E+01	  +6.6369154068257927E+01	
  +2.2875000000000000E+01	  +6.6369153975630098E+01	
  +2.3000000000000000E+01	  +6.6369154061622865E+01	
  +2.3125000000000000E+01	  +6.6369153981782290E+01	
  +2.3250000000000000E+01	  +6.6369154055916823E+01	
  +2.3375000000000000E+01	  +6.6369153987096581E+01	
  +2.3500000000000000E+01	  +6.6369154051002383E+01	
  +2.3625000000000000E+01	  +6.6369153991661449E+01	
  +2.3750000000000000E+01	  +6.6369154046751206E+01	
  +2.3875000000000000E+01	  +6.6369153995602076E+01	
  +2.4000000000000000E+01	  +6.6369154043084038E+01	
