 TIME                    ,CSP_load_factor          ,HT_Level                 ,Global_Radiation         ,dtSim                    ,ct_fr                    ,DNI                      ,FILL_FREQ                ,EMP_FREQ                 ,PowerCSP                 ,PowerPV                  ,Ptotal                   ,AC_Crtld                 ,PVnet_to_grid            ,DC_curtailed             ,cleanCSP                 ,LOAD                     ,
  +0.0000000000000000E+00,  +1.0000000000000000E+00,  +0.0000000000000000E+00,  +0.0000000000000000E+00,  +1.0000000000000000E+00,  +0.0000000000000000E+00,  +0.0000000000000000E+00,  +0.0000000000000000E+00,  +1.0000000000000000E+00,  +9.6162323845376119E-01,  +0.0000000000000000E+00,  +9.6162323845376119E-01,  +0.0000000000000000E+00,  +0.0000000000000000E+00,  +0.0000000000000000E+00,  +0.0000000000000000E+00,  +2.0000000000000000E+02,
  +1.0000000000000000E+00,  +1.0000000000000000E+00,  +1.0010010010010011E+00,  +0.0000000000000000E+00,  +1.0000000000000000E+00,  +0.0000000000000000E+00,  +0.0000000000000000E+00,  +1.0000000000000000E+00,  +0.0000000000000000E+00,  +0.0000000000000000E+00,  +0.0000000000000000E+00,  +0.0000000000000000E+00,  +0.0000000000000000E+00,  +0.0000000000000000E+00,  +0.0000000000000000E+00,  +0.0000000000000000E+00,  +2.0000000000000000E+02,
  +2.0000000000000000E+00,  +1.0000000000000000E+00,  +9.6787243734815942E-01,  +0.0000000000000000E+00,  +1.0000000000000000E+00,  +0.0000000000000000E+00,  +0.0000000000000000E+00,  +1.0000000000000000E+00,  +0.0000000000000000E+00,  +2.0485054490955849E+02,  +0.0000000000000000E+00,  +2.0485054490955849E+02,  +0.0000000000000000E+00,  +0.0000000000000000E+00,  +0.0000000000000000E+00,  +0.0000000000000000E+00,  +2.0000000000000000E+02,
  +3.0000000000000000E+00,  +1.0000000000000000E+00,  +9.0520426178285374E-01,  +0.0000000000000000E+00,  +1.0000000000000000E+00,  +0.0000000000000000E+00,  +0.0000000000000000E+00,  +0.0000000000000000E+00,  +0.0000000000000000E+00,  +1.8684269525212983E+02,  +0.0000000000000000E+00,  +1.8684269525212983E+02,  +0.0000000000000000E+00,  +0.0000000000000000E+00,  +0.0000000000000000E+00,  +0.0000000000000000E+00,  +2.0000000000000000E+02,
  +4.0000000000000000E+00,  +1.0000000000000000E+00,  +8.4387806910458829E-01,  +0.0000000000000000E+00,  +1.0000000000000000E+00,  +0.0000000000000000E+00,  +0.0000000000000000E+00,  +0.0000000000000000E+00,  +0.0000000000000000E+00,  +1.9919031234635369E+02,  +0.0000000000000000E+00,  +1.9919031234635369E+02,  +0.0000000000000000E+00,  +0.0000000000000000E+00,  +0.0000000000000000E+00,  +0.0000000000000000E+00,  +2.0000000000000000E+02,
  +5.0000000000000000E+00,  +9.5334000000000008E-01,  +7.8225831047367400E-01,  +1.8827000000000001E+02,  +1.0000000000000000E+00,  +1.0974515520824835E+08,  +7.0020000000000005E+02,  +0.0000000000000000E+00,  +0.0000000000000000E+00,  +1.9841945734269245E+02,  +2.1770000000000000E+01,  +2.2018945734269246E+02,  +0.0000000000000000E+00,  +2.1770000000000000E+01,  +0.0000000000000000E+00,  +0.0000000000000000E+00,  +2.0000000000000000E+02,
  +6.0000000000000000E+00,  +8.6091500000000010E-01,  +7.3723665770129121E-01,  +3.7135000000000002E+02,  +1.0000000000000000E+00,  +7.6338529275878704E+08,  +1.8288000000000000E+03,  +0.0000000000000000E+00,  +0.0000000000000000E+00,  +1.7951886037424967E+02,  +4.3121000000000002E+01,  +2.2263986037424968E+02,  +0.0000000000000000E+00,  +4.3121000000000002E+01,  +0.0000000000000000E+00,  +0.0000000000000000E+00,  +2.0000000000000000E+02,
  +7.0000000000000000E+00,  +7.6403500000000002E-01,  +7.4031614984063565E-01,  +5.8830999999999995E+02,  +1.0000000000000000E+00,  +2.5228858254492774E+09,  +2.3525999999999999E+03,  +0.0000000000000000E+00,  +0.0000000000000000E+00,  +1.5736138365402709E+02,  +6.6968999999999994E+01,  +2.2433038365402709E+02,  +0.0000000000000000E+00,  +6.6968999999999994E+01,  +0.0000000000000000E+00,  +0.0000000000000000E+00,  +2.0000000000000000E+02,
  +8.0000000000000000E+00,  +6.5955000000000008E-01,  +7.8651449437168641E-01,  +8.3285000000000002E+02,  +1.0000000000000000E+00,  +2.9050817717997375E+09,  +2.4678000000000002E+03,  +0.0000000000000000E+00,  +0.0000000000000000E+00,  +1.3576736378134800E+02,  +9.1870000000000005E+01,  +2.2763736378134800E+02,  +0.0000000000000000E+00,  +9.1870000000000005E+01,  +0.0000000000000000E+00,  +0.0000000000000000E+00,  +2.0000000000000000E+02,
  +9.0000000000000000E+00,  +5.8875000000000011E-01,  +8.5078528547931254E-01,  +1.0560000000000000E+03,  +1.0000000000000000E+00,  +3.2206806552471023E+09,  +2.5505999999999999E+03,  +0.0000000000000000E+00,  +0.0000000000000000E+00,  +1.1112518909264399E+02,  +1.0000000000000000E+02,  +2.1112518909264401E+02,  +0.0000000000000000E+00,  +1.0000000000000000E+02,  +2.1415999999999999E-01,  +0.0000000000000000E+00,  +2.0000000000000000E+02,
  +1.0000000000000000E+01,  +5.7132000000000005E-01,  +9.2678391330574095E-01,  +1.2123000000000000E+03,  +1.0000000000000000E+00,  +3.4460241395036941E+09,  +2.5901999999999998E+03,  +0.0000000000000000E+00,  +0.0000000000000000E+00,  +1.0237161037766349E+02,  +1.0000000000000000E+02,  +2.0237161037766350E+02,  +0.0000000000000000E+00,  +1.0000000000000000E+02,  +3.6885000000000001E-01,  +0.0000000000000000E+00,  +2.0000000000000000E+02,
  +1.1000000000000000E+01,  +5.7132000000000005E-01,  +9.8322106375449003E-01,  +1.2927000000000000E+03,  +1.0000000000000000E+00,  +3.4424669593442383E+09,  +2.4948000000000002E+03,  +1.0000000000000000E+00,  +0.0000000000000000E+00,  +1.0072106471765751E+02,  +1.0000000000000000E+02,  +2.0072106471765750E+02,  +0.0000000000000000E+00,  +1.0000000000000000E+02,  +4.4381999999999999E-01,  +0.0000000000000000E+00,  +2.0000000000000000E+02,
  +1.2000000000000000E+01,  +5.7132000000000005E-01,  +1.0000000000000000E+00,  +1.2337000000000000E+03,  +1.0000000000000000E+00,  +3.4029920386485786E+09,  +2.4318000000000002E+03,  +1.0000000000000000E+00,  +0.0000000000000000E+00,  +1.0045153884009706E+02,  +1.0000000000000000E+02,  +2.0045153884009704E+02,  +0.0000000000000000E+00,  +1.0000000000000000E+02,  +3.8220999999999999E-01,  +0.0000000000000000E+00,  +2.0000000000000000E+02,
  +1.3000000000000000E+01,  +5.7132000000000005E-01,  +1.0000000000000000E+00,  +1.0823000000000000E+03,  +1.0000000000000000E+00,  +3.3778033485031414E+09,  +2.4138000000000002E+03,  +1.0000000000000000E+00,  +0.0000000000000000E+00,  +9.9917491858265166E+01,  +1.0000000000000000E+02,  +1.9991749185826518E+02,  +0.0000000000000000E+00,  +1.0000000000000000E+02,  +2.2758999999999999E-01,  +0.0000000000000000E+00,  +2.0000000000000000E+02,
