 TIME                    	DeaLPmout                	ColdPHm_c_out            	DeaHPmout                	HotPHm_c_out             	DeaLPTout                	ColdPhT_c_out            	DeaHPTout                	HotPhT_c_out             	
  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +2.0000000000000000E+01	  +2.0000000000000000E+01	  +2.0000000000000000E+01	  +2.0000000000000000E+01	
  +1.2500000000000000E-01	  +9.7311219144921502E+04	  +9.7474921019002504E+04	  +1.1268787985296053E+05	  +1.1231000000000000E+05	  +1.4795217450930610E+02	  +1.5734101923300091E+02	  +1.7731934022715470E+02	  +2.2844179323121031E+02	
  +2.5000000000000000E-01	  +9.7079872806577216E+04	  +9.7150729299193961E+04	  +1.1233065622783139E+05	  +1.1231000000000000E+05	  +1.4790919724211994E+02	  +1.5738104016330871E+02	  +1.7752778196530764E+02	  +2.2833247213645177E+02	
  +3.7500000000000000E-01	  +9.7079872806577216E+04	  +9.7150729299193961E+04	  +1.1228821079887601E+05	  +1.1231000000000000E+05	  +1.4790919724211994E+02	  +1.5738779323163081E+02	  +1.7751030006811743E+02	  +2.2834824256484256E+02	
  +5.0000000000000000E-01	  +9.7083786477259535E+04	  +9.7150729299193961E+04	  +1.1228752807302478E+05	  +1.1231000000000000E+05	  +1.4791699829640660E+02	  +1.5739130719987148E+02	  +1.7751030006811743E+02	  +2.2836323608993806E+02	
  +6.2500000000000000E-01	  +9.7106042365346730E+04	  +9.7079872806577216E+04	  +1.1221953696193339E+05	  +1.1231000000000000E+05	  +1.4792498912198448E+02	  +1.5739899339628136E+02	  +1.7751824346999200E+02	  +2.2836316176460423E+02	
  +7.5000000000000000E-01	  +9.7130642253979720E+04	  +9.7083786477259535E+04	  +1.1221910024255529E+05	  +1.1231000000000000E+05	  +1.4794625690485793E+02	  +1.5740354639012679E+02	  +1.7750799828150264E+02	  +2.2836346294166037E+02	
  +8.7500000000000000E-01	  +9.7185182035563834E+04	  +9.7106042365346730E+04	  +1.1224355362839325E+05	  +1.1231000000000000E+05	  +1.4794507605814761E+02	  +1.5740897378429335E+02	  +1.7752258651814833E+02	  +2.2836218299952287E+02	
  +1.0000000000000000E+00	  +9.7191106951304318E+04	  +9.7130642253979720E+04	  +1.1227057804924750E+05	  +1.1231000000000000E+05	  +1.4794907417404880E+02	  +1.5741367059663727E+02	  +1.7752550580334076E+02	  +2.2836570183379138E+02	
  +1.1250000000000000E+00	  +9.7186818949845328E+04	  +9.7185182035563834E+04	  +1.1232752077952622E+05	  +1.1231000000000000E+05	  +1.4792720225971161E+02	  +1.5740119132467271E+02	  +1.7752581380297141E+02	  +2.2836532148521468E+02	
